Counties ,NOnlyEnglish,POnlyEnglish,NLanguageotherthanEnglish,PLanguageotherthanEnglish,NSpanish ,PSpanish, N OtherIndoEuropeannLanguages ,POtherIndoEuropeanLanguages,NAsianandPacificIslanderlanguages,PAsianandPacificIslanderlanguages,NOtherLanguages ,POtherLanguages 
Dutchess,237186.00,84.70,42906.00,15.30,21722.00,7.80,11811.00,4.20,6078.00,2.20,3295.00,1.20
Orange,267978.00,75.10,88664.00,24.90,46941.00,13.20,33598.00,9.40,5403.00,1.50,2722.00,0.80
Putnam,75600.00,80.20,18686.00,19.80,9863.00,10.50,6595.00,7.00,1350.00,1.40,878.00,0.90
Rockland,175137.00,58.60,123657.00,41.40,41973.00,14.00,65179.00,21.80,11529.00,3.90,4976.00,1.70
Sullivan,59764.00,84.20,11192.00,15.80,6249.00,8.80,4022.00,5.70,525.00,0.70,396.00,0.60
Ulster,152418.00,89.30,18175.00,10.70,10157.00,6.00,5526.00,3.20,1753.00,1.00,739.00,0.40
Westchester,606394.00,66.30,308453.00,33.70,182295.00,19.90,76663.00,8.40,33268.00,3.60,16227.00,1.80
MidHudson,1574477.00,72.00,611733.00,28.00,319200.00,14.60,203394.00,9.30,59906.00,2.70,29233.00,1.30
NYSexclNYC,8722683.00,82.80,1806704.00,17.20,853048.00,8.10,603645.00,5.70,244451.00,2.30,105560.00,1.00
NYS,12799886.00,69.70,5574294.00,30.30,2702957.00,14.70,1601709.00,8.70,939221.00,5.10,330407.00,1.80
